s,h,a,p
0,[0.4374703]
1,[-0.07248317]
2,[0.83859198]
3,[0.]
4,[1.443875]
5,[-0.13618847]
6,[1.10361423]
7,[-0.11700891]
8,[1.19705953]
9,[-0.12217516]
10,[0.60310299]
11,[0.11454617]
12,[0.06111681]
13,[-0.1201629]
14,[0.1716733]
15,[0.05909635]
16,[-0.05642638]
17,[-0.08209942]
18,[0.16143316]
19,[0.06720334]
20,[-0.41266747]
21,[-0.44960329]
22,[-0.29674983]
23,[-0.04740926]
24,[-0.91058214]
25,[-0.40254292]
26,[-1.12136444]
27,[-0.23722946]
28,[-1.31834844]
29,[-0.08178663]
30,[-1.17487249]
31,[0.]
32,[-0.78337264]
33,[0.2227666]
34,[-0.68177947]
35,[0.]
36,[-0.30808085]
37,[0.]
38,[0.21991845]
39,[0.]
40,[0.36324006]
41,[-0.13893782]
42,[-0.07163463]
43,[-0.01512354]
44,[-0.02602079]
45,[0.15713251]
46,[-0.24314029]
47,[0.06525284]
48,[0.2875204]
49,[-0.35936372]
50,[-0.06055424]
51,[-0.14520733]
52,[0.]
53,[-0.02119105]
54,[-0.098295]
55,[0.]
56,[-0.08636462]
57,[0.37356515]
58,[0.27960441]
59,[0.14230697]
